CosMx™ Human Universal Cell Characterization Panel  - Gene and Probe Details,,,,,,
Display Name,Gene Symbol(s),Gene Name(s),Alias(es),Panel Type,,CodeClass
AATK,AATK,apoptosis associated tyrosine kinase,"lemur tyrosine kinase 1,protein phosphatase 1, regulatory subunit 77; AATYK,KIAA0641,LMTK1,LMR1,AATYK1,PPP1R77",Core,,
ABL1,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase","JTK7,c-ABL,p150; v-abl Abelson murine leukemia viral oncogene homolog 1,c-abl oncogene 1, receptor tyrosine kinase,c-abl oncogene 1, non-receptor tyrosine kinase",Core,,
ABL2,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase","Abelson-related gene; ARG; v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene),v-abl Abelson murine leukemia viral oncogene homolog 2,c-abl oncogene 2, non-receptor tyrosine kinase",Core,,
ACACB,ACACB,acetyl-CoA carboxylase beta,"acetyl-Coenzyme A carboxylase beta; acetyl-CoA carboxylase 2; HACC275,ACC2,ACCB,ACC-beta,ACCbeta,ACACbeta",Core,,
ACE,ACE,angiotensin I converting enzyme,"peptidyl-dipeptidase A; angiotensin I converting enzyme (peptidyl-dipeptidase A) 1; ACE1,CD143",Core,,
ACKR1,ACKR1,atypical chemokine receptor 1 (Duffy blood group),"CCBP1,GPD,Dfy,CD234; Duffy blood group,Duffy blood group, chemokine receptor,Duffy blood group, atypical chemokine receptor; atypical chemokine receptor 1,glycoprotein D",Core,,
ACKR3,ACKR3,atypical chemokine receptor 3,"RDC1,GPR159; chemokine orphan receptor 1,chemokine (C-X-C motif) receptor 7",Core,,
ACKR4,ACKR4,atypical chemokine receptor 4,"chemokine (C-C motif) receptor-like 1; CCR11,CCBP2,VSHK1,CCX-CKR,PPR1",Core,,
ACP5,ACP5,"acid phosphatase 5, tartrate resistant","tartrate-resistant acid phosphatase,human purple acid phosphatase; TRAP,HPAP,TRAcP",Add-On,,
ACTA2,ACTA2,"actin alpha 2, smooth muscle","ACTSA; actin, alpha 2, smooth muscle, aorta",Core,,
ACTG2,ACTG2,"actin gamma 2, smooth muscle","actin, gamma 2, smooth muscle, enteric; ACTSG",Core,,
ACVR1,ACVR1,activin A receptor type 1,"SKR1,ALK2,ACVR1A; activin A receptor, type I",Core,,
ACVR1B,ACVR1B,activin A receptor type 1B,"activin A receptor, type IB; ALK4,SKR2,ActRIB",Core,,
